episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
531,True,False,983,68,,,
532,False,True,98,54,,,
533,True,False,640,33,,,
534,True,False,889,72,,,
535,True,False,780,32,,,
536,True,False,749,58,,,
537,False,True,-89,40,,,
538,False,True,-149,39,,,
539,False,True,220,48,,,
540,True,False,896,45,,,
541,True,False,677,53,,,
542,True,False,996,96,,,
543,True,False,736,41,,,
544,True,False,666,37,,,
545,True,False,987,53,,,
546,True,False,722,45,,,
547,True,False,749,28,,,
548,True,False,676,38,,,
549,True,False,723,65,,,
550,True,False,668,36,,,
551,True,False,938,54,,,
552,True,False,807,43,,,
553,True,False,934,53,,,
554,True,False,834,40,,,
555,True,False,993,60,,,
556,True,False,836,36,,,
557,True,False,844,46,,,
558,True,False,627,51,,,
559,False,True,-173,37,,,
560,False,True,178,43,,,
561,True,False,801,36,,,
562,True,False,921,108,,,
563,True,False,809,33,,,
564,False,True,92,61,,,
565,True,False,1020,71,,,
566,True,False,742,32,,,
567,True,False,689,38,,,
568,True,False,672,47,,,
569,True,False,949,56,,,
570,False,True,182,45,,,
571,True,False,621,38,,,
572,True,False,634,46,,,
573,True,False,953,52,,,
574,True,False,955,52,,,
575,True,False,582,47,,,
576,True,False,689,39,,,
577,True,False,810,34,,,
578,True,False,673,40,,,
579,True,False,848,42,,,
580,True,False,990,56,,,
581,True,False,882,40,,,
582,True,False,635,43,,,
583,True,False,968,59,,,
584,True,False,919,51,,,
585,True,False,898,69,,,
586,True,False,788,41,,,
587,True,False,952,51,,,
588,True,False,768,57,,,
589,True,False,896,46,,,
590,True,False,712,33,,,
591,True,False,938,54,,,
592,False,True,66,33,,,
593,True,False,900,46,,,
594,True,False,981,55,,,
595,True,False,883,44,,,
596,True,False,822,44,,,
597,False,True,1,25,,,
598,True,False,785,35,,,
599,True,False,812,42,,,
600,False,True,-17,22,,,
601,True,False,799,35,,,
602,True,False,888,50,,,
603,True,False,813,43,,,
604,True,False,859,40,,,
605,True,False,832,42,,,
606,True,False,996,55,,,
607,True,False,948,50,,,
608,True,False,815,41,,,
609,True,False,828,40,,,
610,True,False,906,42,,,
611,True,False,993,60,,,
612,True,False,750,28,,,
613,True,False,919,51,,,
614,True,False,784,33,,,
615,True,False,1079,68,,,
616,True,False,942,57,,,
617,True,False,894,55,,,
618,True,False,944,52,,,
619,False,True,68,35,,,
620,True,False,864,39,,,
621,True,False,871,46,,,
622,True,False,813,37,,,
623,True,False,885,43,,,
624,True,False,839,37,,,
625,True,False,794,42,,,
626,True,False,875,45,,,
627,True,False,820,35,,,
628,True,False,884,43,,,
629,True,False,776,33,,,
630,True,False,873,40,,,
631,True,False,1065,59,,,
632,True,False,807,33,,,
633,True,False,941,47,,,
634,True,False,1107,72,,,
635,True,False,896,45,,,
636,True,False,819,41,,,
637,True,False,952,54,,,
638,True,False,849,43,,,
639,True,False,890,47,,,
640,True,False,1037,64,,,
641,True,False,945,51,,,
642,True,False,981,59,,,
643,True,False,845,39,,,
644,False,True,136,38,,,
645,True,False,1096,63,,,
646,True,False,962,69,,,
647,True,False,954,59,,,
648,True,False,875,41,,,
649,True,False,759,33,,,
650,True,False,795,38,,,
651,True,False,893,52,,,
652,True,False,802,67,,,
653,True,False,894,53,,,
654,True,False,841,44,,,
655,True,False,914,53,,,
656,True,False,998,54,,,
657,True,False,761,28,,,
658,True,False,847,63,,,
659,True,False,863,53,,,
660,True,False,1094,119,,,
661,True,False,904,91,,,
662,True,False,764,87,,,
663,False,True,83,200,,,
664,True,False,746,91,,,
665,False,True,112,48,,,
666,True,False,960,108,,,
667,True,False,772,186,,,
668,True,False,992,87,,,
669,False,True,-12,200,,,
670,True,False,786,124,,,
